date,Cases,Dead,Recovered,state
3/26/2020,1,0,0,Andaman and Nicobar Islands
3/27/2020,1,0,0,Andaman and Nicobar Islands
3/28/2020,6,0,0,Andaman and Nicobar Islands
3/29/2020,9,0,0,Andaman and Nicobar Islands
3/30/2020,9,0,0,Andaman and Nicobar Islands
3/31/2020,10,0,0,Andaman and Nicobar Islands
4/1/2020,10,0,0,Andaman and Nicobar Islands
4/2/2020,10,0,0,Andaman and Nicobar Islands
4/3/2020,10,0,0,Andaman and Nicobar Islands
4/4/2020,10,0,0,Andaman and Nicobar Islands
4/5/2020,10,0,0,Andaman and Nicobar Islands
4/6/2020,10,0,0,Andaman and Nicobar Islands
4/7/2020,10,0,0,Andaman and Nicobar Islands
4/8/2020,10,0,0,Andaman and Nicobar Islands
4/9/2020,11,0,0,Andaman and Nicobar Islands
4/10/2020,11,0,0,Andaman and Nicobar Islands
4/11/2020,11,0,0,Andaman and Nicobar Islands
4/12/2020,11,0,10,Andaman and Nicobar Islands
4/13/2020,11,0,10,Andaman and Nicobar Islands
4/14/2020,11,0,10,Andaman and Nicobar Islands
4/15/2020,11,0,10,Andaman and Nicobar Islands
4/16/2020,11,0,10,Andaman and Nicobar Islands
4/17/2020,11,0,10,Andaman and Nicobar Islands
4/18/2020,12,0,11,Andaman and Nicobar Islands
4/19/2020,14,0,11,Andaman and Nicobar Islands
4/20/2020,15,0,11,Andaman and Nicobar Islands
4/21/2020,16,0,11,Andaman and Nicobar Islands
4/22/2020,17,0,11,Andaman and Nicobar Islands
4/23/2020,18,0,11,Andaman and Nicobar Islands
4/24/2020,22,0,11,Andaman and Nicobar Islands
4/25/2020,27,0,11,Andaman and Nicobar Islands
4/26/2020,33,0,11,Andaman and Nicobar Islands
4/27/2020,33,0,11,Andaman and Nicobar Islands
4/28/2020,33,0,11,Andaman and Nicobar Islands
4/29/2020,33,0,15,Andaman and Nicobar Islands
4/30/2020,33,0,15,Andaman and Nicobar Islands
5/1/2020,33,0,16,Andaman and Nicobar Islands
5/2/2020,33,0,16,Andaman and Nicobar Islands
5/3/2020,33,0,17,Andaman and Nicobar Islands
5/4/2020,33,0,32,Andaman and Nicobar Islands
5/5/2020,33,0,32,Andaman and Nicobar Islands
5/6/2020,33,0,32,Andaman and Nicobar Islands
5/7/2020,33,0,32,Andaman and Nicobar Islands
5/8/2020,33,0,33,Andaman and Nicobar Islands
5/9/2020,33,0,33,Andaman and Nicobar Islands
5/10/2020,33,0,33,Andaman and Nicobar Islands
5/11/2020,33,0,33,Andaman and Nicobar Islands
5/12/2020,33,0,33,Andaman and Nicobar Islands
5/13/2020,33,0,33,Andaman and Nicobar Islands
5/14/2020,33,0,33,Andaman and Nicobar Islands
5/15/2020,33,0,33,Andaman and Nicobar Islands
5/16/2020,33,0,33,Andaman and Nicobar Islands
5/17/2020,33,0,33,Andaman and Nicobar Islands
5/18/2020,33,0,33,Andaman and Nicobar Islands
5/19/2020,33,0,33,Andaman and Nicobar Islands
5/20/2020,33,0,33,Andaman and Nicobar Islands
5/21/2020,33,0,33,Andaman and Nicobar Islands
5/22/2020,33,0,33,Andaman and Nicobar Islands
5/23/2020,33,0,33,Andaman and Nicobar Islands
5/24/2020,33,0,33,Andaman and Nicobar Islands
5/25/2020,33,0,33,Andaman and Nicobar Islands
5/26/2020,33,0,33,Andaman and Nicobar Islands
5/27/2020,33,0,33,Andaman and Nicobar Islands
5/28/2020,33,0,33,Andaman and Nicobar Islands
5/29/2020,33,0,33,Andaman and Nicobar Islands
5/30/2020,33,0,33,Andaman and Nicobar Islands
5/31/2020,33,0,33,Andaman and Nicobar Islands
6/1/2020,33,0,33,Andaman and Nicobar Islands
6/2/2020,33,0,33,Andaman and Nicobar Islands
6/3/2020,33,0,33,Andaman and Nicobar Islands
6/4/2020,33,0,33,Andaman and Nicobar Islands
6/5/2020,33,0,33,Andaman and Nicobar Islands
6/6/2020,33,0,33,Andaman and Nicobar Islands
6/7/2020,33,0,33,Andaman and Nicobar Islands
6/8/2020,33,0,33,Andaman and Nicobar Islands
6/9/2020,33,0,33,Andaman and Nicobar Islands
6/10/2020,33,0,33,Andaman and Nicobar Islands
6/11/2020,34,0,33,Andaman and Nicobar Islands
6/12/2020,38,0,33,Andaman and Nicobar Islands
6/13/2020,38,0,33,Andaman and Nicobar Islands
6/14/2020,38,0,33,Andaman and Nicobar Islands
6/15/2020,38,0,33,Andaman and Nicobar Islands
6/16/2020,41,0,33,Andaman and Nicobar Islands
6/17/2020,44,0,33,Andaman and Nicobar Islands
6/18/2020,44,0,33,Andaman and Nicobar Islands
6/19/2020,44,0,33,Andaman and Nicobar Islands
6/20/2020,45,0,35,Andaman and Nicobar Islands
6/21/2020,47,0,36,Andaman and Nicobar Islands
6/22/2020,48,0,37,Andaman and Nicobar Islands
6/23/2020,48,0,37,Andaman and Nicobar Islands
6/24/2020,50,0,40,Andaman and Nicobar Islands
6/25/2020,56,0,43,Andaman and Nicobar Islands
6/26/2020,59,0,43,Andaman and Nicobar Islands
6/27/2020,72,0,43,Andaman and Nicobar Islands
6/28/2020,72,0,43,Andaman and Nicobar Islands
6/29/2020,76,0,45,Andaman and Nicobar Islands
6/30/2020,90,0,46,Andaman and Nicobar Islands
7/1/2020,97,0,50,Andaman and Nicobar Islands
7/2/2020,100,0,50,Andaman and Nicobar Islands
7/3/2020,109,0,51,Andaman and Nicobar Islands
7/4/2020,116,0,54,Andaman and Nicobar Islands
7/5/2020,119,0,66,Andaman and Nicobar Islands
7/6/2020,125,0,72,Andaman and Nicobar Islands
7/7/2020,141,0,74,Andaman and Nicobar Islands
7/8/2020,147,0,75,Andaman and Nicobar Islands
7/9/2020,149,0,77,Andaman and Nicobar Islands
7/10/2020,151,0,83,Andaman and Nicobar Islands
7/11/2020,156,0,92,Andaman and Nicobar Islands
7/12/2020,163,0,93,Andaman and Nicobar Islands
7/13/2020,163,0,93,Andaman and Nicobar Islands
7/14/2020,166,0,109,Andaman and Nicobar Islands
7/15/2020,166,0,109,Andaman and Nicobar Islands
